review_text,rating,review_date,bank,source,app_package,clean_text,sentiment_label,sentiment_score,theme,category
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,Google Play,com.boa.boaMobileBanking,the lag is unbelievable when you need it the most this suks,NEGATIVE,0.9983174800872804,Performance,Other
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,Google Play,com.boa.boaMobileBanking,i cant belive i could find the worst bank app ever yet very simple to fix the problem and the company just ignored it no body can do business with this kind of app,NEGATIVE,0.9996908903121948,Other,Other
it is a good app,5,2025-11-18,BOA,Google Play,com.boa.boaMobileBanking,it is a good app,POSITIVE,0.9998643398284912,Other,Other
it is not working at all,1,2025-11-15,BOA,Google Play,com.boa.boaMobileBanking,it is not working at all,NEGATIVE,0.9997811913490297,Other,Other
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,Google Play,com.boa.boaMobileBanking,app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,POSITIVE,0.862492024898529,Login/Access,Other
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,Google Play,com.boa.boaMobileBanking,when trying to activate the app it keeps on loading on the security questions page it has been two days,NEGATIVE,0.9963461756706238,Performance,Other
fast and simple,5,2025-11-11,BOA,Google Play,com.boa.boaMobileBanking,fast and simple,POSITIVE,0.9997392296791076,Other,Other
best of best,5,2025-11-10,BOA,Google Play,com.boa.boaMobileBanking,best of best,POSITIVE,0.9997496008872986,Other,Other
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,Google Play,com.boa.boaMobileBanking,worest banking app ever i seen fake app bad better to leave,NEGATIVE,0.9986771941184998,Other,Other
good,4,2025-11-10,BOA,Google Play,com.boa.boaMobileBanking,good,POSITIVE,0.999816119670868,Other,Other
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,Google Play,com.boa.boaMobileBanking,i would like to share feedback regarding the application it frequently experiences disruptions and does not function properly often freezing or failing to load this issue is affecting workflow and efficiency kindly review and address this problem to ensure smoother performance,NEGATIVE,0.998780071735382,Other,Other
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA,Google Play,com.boa.boaMobileBanking,meet you genuine app i tried is not functional helping welldoingwith boa ethiopia fastandrelevant morconnecting digitalyworld digitalyworld thanks,NEGATIVE,0.936303734779358,Features/UI,Other
best app,5,2025-11-08,BOA,Google Play,com.boa.boaMobileBanking,best app,POSITIVE,0.999686598777771,Other,Other
Best app,5,2025-11-07,BOA,Google Play,com.boa.boaMobileBanking,best app,POSITIVE,0.999686598777771,Other,Other
"Barely works, it always fails to connect",1,2025-11-07,BOA,Google Play,com.boa.boaMobileBanking,barely works it always fails to connect,NEGATIVE,0.9988031387329102,Other,Other
my fav app,5,2025-11-07,BOA,Google Play,com.boa.boaMobileBanking,my fav app,POSITIVE,0.9846561551094056,Other,Other
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,Google Play,com.boa.boaMobileBanking,this app launch time is so long also has dozen bugs in addition it s has been long time get update,NEGATIVE,0.9979791045188904,Crashes/Bugs,Other
very nice,5,2025-11-04,BOA,Google Play,com.boa.boaMobileBanking,very nice,POSITIVE,0.9998563528060912,Other,Other
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,Google Play,com.boa.boaMobileBanking,your application is very irritating to use some functionality doesn t even work like on the card management you need to do better than this and it good idea to reference other banking applications,NEGATIVE,0.9971778392791748,Other,Other
I like,5,2025-11-02,BOA,Google Play,com.boa.boaMobileBanking,i like,POSITIVE,0.9998149275779724,Other,Other
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,Google Play,com.boa.boaMobileBanking,i m sorry but it doesn t work for my android it is too slow but other bank are very fast please update,NEGATIVE,0.7571700811386108,Performance,Other
"the worst app ever,",1,2025-10-30,BOA,Google Play,com.boa.boaMobileBanking,the worst app ever,NEGATIVE,0.9997934699058532,Other,Other
better,5,2025-10-29,BOA,Google Play,com.boa.boaMobileBanking,better,POSITIVE,0.999264657497406,Other,Other
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,Google Play,com.boa.boaMobileBanking,i kindly request that bank of abyssinia address issues with its mobile app it is very slow has numerous problems and frequently experiences downtime the user experience is also poor thank you,NEGATIVE,0.999326467514038,Performance,Other
this app can't open? what is problem? please solve my problem?,1,2025-10-27,BOA,Google Play,com.boa.boaMobileBanking,this app can t open what is problem please solve my problem,NEGATIVE,0.9992958307266236,Other,Other
kiyaa makonn,5,2025-10-27,BOA,Google Play,com.boa.boaMobileBanking,kiyaa makonn,POSITIVE,0.7175910472869873,Other,Other
very very lazy app,1,2025-10-26,BOA,Google Play,com.boa.boaMobileBanking,very very lazy app,NEGATIVE,0.9996856451034546,Other,Other
telebirr remittance,5,2025-10-24,BOA,Google Play,com.boa.boaMobileBanking,telebirr remittance,NEGATIVE,0.9799609780311584,Other,Other
The best bank in 🇪🇹,5,2025-10-23,BOA,Google Play,com.boa.boaMobileBanking,the best bank in,POSITIVE,0.9998539686203004,Other,Other
its good,5,2025-10-22,BOA,Google Play,com.boa.boaMobileBanking,its good,POSITIVE,0.9998385906219482,Other,Other
the worst app in my financial experience.,1,2025-10-22,BOA,Google Play,com.boa.boaMobileBanking,the worst app in my financial experience,NEGATIVE,0.9997979998588562,Other,Other
good for mb appliciation,5,2025-10-21,BOA,Google Play,com.boa.boaMobileBanking,good for mb appliciation,POSITIVE,0.9943337440490724,Other,Other
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,Google Play,com.boa.boaMobileBanking,the worst bank ever slow don t accept dual sim they are very stupid and greedy,NEGATIVE,0.999461829662323,Performance,Other
try to easy network,4,2025-10-17,BOA,Google Play,com.boa.boaMobileBanking,try to easy network,NEGATIVE,0.9987332224845886,Other,Other
hussen hassen umer,5,2025-10-16,BOA,Google Play,com.boa.boaMobileBanking,hussen hassen umer,POSITIVE,0.8681218028068542,Other,Other
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,BOA,Google Play,com.boa.boaMobileBanking,the app is not suitable and lacks a good ui design as a large bank you must update your app with a professional ui that is fast and appropriate,NEGATIVE,0.9970928430557252,Features/UI,Other
an exceptional banking app.,5,2025-10-16,BOA,Google Play,com.boa.boaMobileBanking,an exceptional banking app,POSITIVE,0.9997128844261168,Other,Other
alhamdulilah,5,2025-10-11,BOA,Google Play,com.boa.boaMobileBanking,alhamdulilah,POSITIVE,0.8558264374732971,Other,Other
poor,5,2025-10-11,BOA,Google Play,com.boa.boaMobileBanking,poor,NEGATIVE,0.9997912049293518,Other,Other
Best of best,5,2025-10-09,BOA,Google Play,com.boa.boaMobileBanking,best of best,POSITIVE,0.9997496008872986,Other,Other
from the last week updates the app is not working Please check the problems,1,2025-10-08,BOA,Google Play,com.boa.boaMobileBanking,from the last week updates the app is not working please check the problems,NEGATIVE,0.9996919631958008,Other,Other
It's always crushing,1,2025-10-08,BOA,Google Play,com.boa.boaMobileBanking,it s always crushing,NEGATIVE,0.9994115829467772,Other,Other
office branches have to improve their services please,4,2025-10-07,BOA,Google Play,com.boa.boaMobileBanking,office branches have to improve their services please,POSITIVE,0.6649664640426636,Support,Other
♥️♥️,5,2025-10-05,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,BOA,Google Play,com.boa.boaMobileBanking,why does it keep crashing i can t even use this boa should do better you have many customers and how to deal with this i can t send money now,NEGATIVE,0.9994539618492126,Crashes/Bugs,Other
it needs a timely update,5,2025-10-03,BOA,Google Play,com.boa.boaMobileBanking,it needs a timely update,NEGATIVE,0.9983032941818236,Other,Other
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA,Google Play,com.boa.boaMobileBanking,it does not show the name of the person who sent the money to request a receipt this has become very difficult for us when different people transfer the same amount to me from different banks it is very difficult to identify the account or the name of the sender,NEGATIVE,0.999756395816803,Other,Other
Like,5,2025-10-01,BOA,Google Play,com.boa.boaMobileBanking,like,POSITIVE,0.9910564422607422,Other,Other
I can't type my otp on it.,1,2025-10-01,BOA,Google Play,com.boa.boaMobileBanking,i can t type my otp on it,NEGATIVE,0.9987860321998596,Login/Access,Other
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,BOA,Google Play,com.boa.boaMobileBanking,most of bank apps in ethiopia are linked with ethiopian phone number i live in us permanently so when i open boa account i told them where i live and to link it with email address instead of phone as ethio phone number is not working where i live unfortunetly my fear appeared and now when i change my phone device it send the code to the ethio number which is not with me now so please when u develop bank apps consider the diaspora community to use ur apps,NEGATIVE,0.9958017468452454,Other,Other
jaajja,4,2025-09-30,BOA,Google Play,com.boa.boaMobileBanking,jaajja,NEGATIVE,0.9872855544090272,Other,Other
I love this bank the best experience ever.,5,2025-09-28,BOA,Google Play,com.boa.boaMobileBanking,i love this bank the best experience ever,POSITIVE,0.9998600482940674,Other,Other
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,BOA,Google Play,com.boa.boaMobileBanking,nothing has been improved it doesn t work like the previous version,NEGATIVE,0.9996967315673828,Other,Other
easy and fast,5,2025-09-24,BOA,Google Play,com.boa.boaMobileBanking,easy and fast,POSITIVE,0.9995583891868592,Other,Other
Great,5,2025-09-20,BOA,Google Play,com.boa.boaMobileBanking,great,POSITIVE,0.9998630285263062,Other,Other
mobile banking,5,2025-09-19,BOA,Google Play,com.boa.boaMobileBanking,mobile banking,POSITIVE,0.9076533913612366,Other,Other
😎,5,2025-09-17,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA,Google Play,com.boa.boaMobileBanking,need alot of connection chooses device very lug even when there is connection,NEGATIVE,0.9939447045326232,Other,Other
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA,Google Play,com.boa.boaMobileBanking,on my ios it s perfect but on android it barley works and don t transfer and after a while it crushed and totally stopped working please fix the issue my beloved bank of abyssinia,NEGATIVE,0.9937937259674072,Other,Other
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,BOA,Google Play,com.boa.boaMobileBanking,since the last update i can open the app crashes a lot and omg its being very slow opening and loading,NEGATIVE,0.999541401863098,Performance,Other
none,5,2025-09-14,BOA,Google Play,com.boa.boaMobileBanking,none,NEGATIVE,0.985345721244812,Other,Other
very good app i ever used,5,2025-09-12,BOA,Google Play,com.boa.boaMobileBanking,very good app i ever used,POSITIVE,0.9998385906219482,Other,Other
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA,Google Play,com.boa.boaMobileBanking,its nice app especially the transaction limit is extended but we face that boa m banking app doesn t respond at the activation stage strictly at smsng mobile phone please try this to make safe,NEGATIVE,0.9986186027526855,Other,Other
zedo,5,2025-09-10,BOA,Google Play,com.boa.boaMobileBanking,zedo,POSITIVE,0.994045615196228,Other,Other
please open my mobile app,5,2025-09-10,BOA,Google Play,com.boa.boaMobileBanking,please open my mobile app,POSITIVE,0.9873003363609314,Other,Other
it doesn't open,1,2025-09-10,BOA,Google Play,com.boa.boaMobileBanking,it doesn t open,NEGATIVE,0.9997475743293762,Other,Other
masha alla,5,2025-09-07,BOA,Google Play,com.boa.boaMobileBanking,masha alla,NEGATIVE,0.9514628052711488,Other,Other
Best banking transaction application in Ethiopia !,5,2025-09-05,BOA,Google Play,com.boa.boaMobileBanking,best banking transaction application in ethiopia,POSITIVE,0.9995935559272766,Other,Other
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
tamaam kamal,1,2025-09-03,BOA,Google Play,com.boa.boaMobileBanking,tamaam kamal,POSITIVE,0.991887390613556,Other,Other
በጣም ሐሪፍ,5,2025-09-03,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
great 👍,5,2025-09-02,BOA,Google Play,com.boa.boaMobileBanking,great,POSITIVE,0.9998630285263062,Other,Other
absiniya banki,5,2025-08-29,BOA,Google Play,com.boa.boaMobileBanking,absiniya banki,NEGATIVE,0.90830397605896,Other,Other
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,BOA,Google Play,com.boa.boaMobileBanking,has issue after installation and i think it doesn t work with tecno common 30,NEGATIVE,0.9996806383132936,Other,Other
One of the best in this business,5,2025-08-25,BOA,Google Play,com.boa.boaMobileBanking,one of the best in this business,POSITIVE,0.999869465827942,Other,Other
Excellent,5,2025-08-20,BOA,Google Play,com.boa.boaMobileBanking,excellent,POSITIVE,0.9998434782028198,Other,Other
besat🥰,5,2025-08-19,BOA,Google Play,com.boa.boaMobileBanking,besat,POSITIVE,0.9642728567123412,Other,Other
unlimited experience,5,2025-08-18,BOA,Google Play,com.boa.boaMobileBanking,unlimited experience,POSITIVE,0.9997161030769348,Other,Other
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,BOA,Google Play,com.boa.boaMobileBanking,as bank u should at least hire someone good at their job bc this a joke nowadays i can t even log in or even transfer without it crashing if u fix the app i will update this review i am counting on u boa update so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way,NEGATIVE,0.9991047978401184,Login/Access,Other
very nice mobile banking app my favourite,5,2025-08-16,BOA,Google Play,com.boa.boaMobileBanking,very nice mobile banking app my favourite,POSITIVE,0.9997608065605164,Other,Other
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,BOA,Google Play,com.boa.boaMobileBanking,it almost never boots up and even if it did it crashes immediately,NEGATIVE,0.9995937943458556,Crashes/Bugs,Other
best apps,5,2025-08-15,BOA,Google Play,com.boa.boaMobileBanking,best apps,POSITIVE,0.999784529209137,Other,Other
the worst app ever to exist in a bank history,1,2025-08-15,BOA,Google Play,com.boa.boaMobileBanking,the worst app ever to exist in a bank history,NEGATIVE,0.9997841715812684,Other,Other
thank you,5,2025-08-14,BOA,Google Play,com.boa.boaMobileBanking,thank you,POSITIVE,0.9998352527618408,Other,Other
Best mobile app in the country,5,2025-08-14,BOA,Google Play,com.boa.boaMobileBanking,best mobile app in the country,POSITIVE,0.999710738658905,Other,Other
not fast,2,2025-08-12,BOA,Google Play,com.boa.boaMobileBanking,not fast,NEGATIVE,0.9949790835380554,Other,Other
keeps freezing at the front page.,1,2025-08-10,BOA,Google Play,com.boa.boaMobileBanking,keeps freezing at the front page,NEGATIVE,0.9969666600227356,Other,Other
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,BOA,Google Play,com.boa.boaMobileBanking,it is not working on redminote 11 pro pls fix it,NEGATIVE,0.9997032284736632,Other,Other
abseniya bank app,5,2025-08-08,BOA,Google Play,com.boa.boaMobileBanking,abseniya bank app,NEGATIVE,0.6962248682975769,Other,Other
yes goode app,5,2025-08-03,BOA,Google Play,com.boa.boaMobileBanking,yes goode app,POSITIVE,0.9997490048408508,Other,Other
Great App,5,2025-08-02,BOA,Google Play,com.boa.boaMobileBanking,great app,POSITIVE,0.999821126461029,Other,Other
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,BOA,Google Play,com.boa.boaMobileBanking,1 crashes repeatedly 2 takes century to boot 3 repeatedly requires update which is very annoying 4 it doesn t ask for password for one step confirmation when transferring money 5 automatically stops music when the app is launched it doesn t really matter just fyi overall this have to be the worst mobile banking app i have tried so far and should not be released with all these bugs issues,NEGATIVE,0.9997629523277284,Login/Access,Other
ረጀብነሱ,1,2025-07-31,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
The Worst Mobile Banking App.,1,2025-07-31,BOA,Google Play,com.boa.boaMobileBanking,the worst mobile banking app,NEGATIVE,0.9997923970222472,Other,Other
giod,5,2025-07-30,BOA,Google Play,com.boa.boaMobileBanking,giod,POSITIVE,0.9893913269042968,Other,Other
best bank in ethiopia,5,2025-07-29,BOA,Google Play,com.boa.boaMobileBanking,best bank in ethiopia,POSITIVE,0.999733030796051,Other,Other
waqayyoo,5,2025-07-28,BOA,Google Play,com.boa.boaMobileBanking,waqayyoo,POSITIVE,0.5036860704421997,Other,Other
please is not working,2,2025-07-27,BOA,Google Play,com.boa.boaMobileBanking,please is not working,NEGATIVE,0.9997643828392028,Other,Other
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA,Google Play,com.boa.boaMobileBanking,nothing when i need to install the apk it say that re up date,NEGATIVE,0.998229444026947,Other,Other
I can log in from any where,5,2025-07-23,BOA,Google Play,com.boa.boaMobileBanking,i can log in from any where,NEGATIVE,0.9497753977775574,Other,Other
😇,3,2025-07-20,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
no proplem,5,2025-07-20,BOA,Google Play,com.boa.boaMobileBanking,no proplem,NEGATIVE,0.991222620010376,Other,Other
👍👍👍,5,2025-07-19,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
excellent app,5,2025-07-18,BOA,Google Play,com.boa.boaMobileBanking,excellent app,POSITIVE,0.9998356103897096,Other,Other
good work,5,2025-07-15,BOA,Google Play,com.boa.boaMobileBanking,good work,POSITIVE,0.999841332435608,Other,Other
☹️,5,2025-07-15,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
excellent,5,2025-07-14,BOA,Google Play,com.boa.boaMobileBanking,excellent,POSITIVE,0.9998434782028198,Other,Other
Great BoA,5,2025-07-14,BOA,Google Play,com.boa.boaMobileBanking,great boa,POSITIVE,0.9992689490318298,Other,Other
Good,5,2025-07-14,BOA,Google Play,com.boa.boaMobileBanking,good,POSITIVE,0.999816119670868,Other,Other
Okay,4,2025-07-13,BOA,Google Play,com.boa.boaMobileBanking,okay,POSITIVE,0.9997709393501282,Other,Other
not working,1,2025-07-12,BOA,Google Play,com.boa.boaMobileBanking,not working,NEGATIVE,0.999777853488922,Other,Other
This App is Getting worse and worse with every update,2,2025-07-11,BOA,Google Play,com.boa.boaMobileBanking,this app is getting worse and worse with every update,NEGATIVE,0.999568521976471,Other,Other
ምርጥ ነው,1,2025-07-10,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
nice,5,2025-07-10,BOA,Google Play,com.boa.boaMobileBanking,nice,POSITIVE,0.9998552799224854,Other,Other
meku,5,2025-07-07,BOA,Google Play,com.boa.boaMobileBanking,meku,POSITIVE,0.942174792289734,Other,Other
awasome app go a head,5,2025-07-04,BOA,Google Play,com.boa.boaMobileBanking,awasome app go a head,NEGATIVE,0.998092234134674,Other,Other
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,Google Play,com.boa.boaMobileBanking,it sucks as hell it crashes most of the time and takes a long time to load,NEGATIVE,0.999491572380066,Crashes/Bugs,Other
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,BOA,Google Play,com.boa.boaMobileBanking,the app is nice and easy to use but after some time it crushed and said error check your device connectivity please fix it,NEGATIVE,0.9972335696220398,Crashes/Bugs,Other
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA,Google Play,com.boa.boaMobileBanking,easy and very nice app to load more than the previouse but in recent time some loading problem detected,NEGATIVE,0.982412040233612,Performance,Other
wow,5,2025-07-01,BOA,Google Play,com.boa.boaMobileBanking,wow,POSITIVE,0.999592125415802,Other,Other
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,Google Play,com.boa.boaMobileBanking,the worst mba i have experienced the app crush frequently and they take to long to fix the problem even more than a week,NEGATIVE,0.9997664093971252,Other,Other
amazing Banks App👌👌,3,2025-06-25,BOA,Google Play,com.boa.boaMobileBanking,amazing banks app,POSITIVE,0.9998069405555724,Other,Other
good App fore me,5,2025-06-25,BOA,Google Play,com.boa.boaMobileBanking,good app fore me,POSITIVE,0.9998444318771362,Other,Other
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,BOA,Google Play,com.boa.boaMobileBanking,very uninterested it s not working when the developer mode on i haven t off the developer options i preferred to uninstall your app,NEGATIVE,0.9994909763336182,Other,Other
fantastic,5,2025-06-22,BOA,Google Play,com.boa.boaMobileBanking,fantastic,POSITIVE,0.9998743534088136,Other,Other
👍,4,2025-06-21,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
it's nice to use.,5,2025-06-21,BOA,Google Play,com.boa.boaMobileBanking,it s nice to use,POSITIVE,0.9998000264167786,Other,Other
app doesn't start,1,2025-06-21,BOA,Google Play,com.boa.boaMobileBanking,app doesn t start,NEGATIVE,0.9962354302406312,Other,Other
Excellent application,5,2025-06-18,BOA,Google Play,com.boa.boaMobileBanking,excellent application,POSITIVE,0.9998571872711182,Other,Other
its very bad app its very slow,1,2025-06-17,BOA,Google Play,com.boa.boaMobileBanking,its very bad app its very slow,NEGATIVE,0.9998086094856262,Performance,Other
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
Good job!,5,2025-06-13,BOA,Google Play,com.boa.boaMobileBanking,good job,POSITIVE,0.999835729598999,Other,Other
best financial app.,5,2025-06-12,BOA,Google Play,com.boa.boaMobileBanking,best financial app,POSITIVE,0.9997140765190125,Other,Other
ቆንጆ ነው በርቱ,5,2025-06-11,BOA,Google Play,com.boa.boaMobileBanking,,POSITIVE,0.7481208443641663,Other,Other
the worst app humans ever created,1,2025-06-09,BOA,Google Play,com.boa.boaMobileBanking,the worst app humans ever created,NEGATIVE,0.9998008608818054,Other,Other
it's not working,3,2025-06-05,BOA,Google Play,com.boa.boaMobileBanking,it s not working,NEGATIVE,0.9997804760932922,Other,Other
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,Google Play,com.boa.boaMobileBanking,hello i m facing a problem with the boa mobile app every time i enter my phone number and password the app crashes and shows an error that says boamobile closed because this app has a bug i tried updating reinstalling and clearing cache but nothing worked please fix this bug in the next update i really need access to my account thank you,NEGATIVE,0.999583899974823,Login/Access,Other
exceptional,5,2025-06-03,BOA,Google Play,com.boa.boaMobileBanking,exceptional,POSITIVE,0.9998514652252196,Other,Other
BoA Mobile good bank,5,2025-06-02,BOA,Google Play,com.boa.boaMobileBanking,boa mobile good bank,POSITIVE,0.9984728693962096,Other,Other
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,com.boa.boaMobileBanking,this is worest app 24 7 loading,NEGATIVE,0.988443911075592,Performance,Other
BoA system is confartable,5,2025-05-31,BOA,Google Play,com.boa.boaMobileBanking,boa system is confartable,NEGATIVE,0.9980142116546632,Other,Other
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,Google Play,com.boa.boaMobileBanking,this app for me is a waste of time it doesn t work i can t even long in and it really piss me off fix the problem,NEGATIVE,0.9997466206550598,Other,Other
Good service.,3,2025-05-25,BOA,Google Play,com.boa.boaMobileBanking,good service,POSITIVE,0.9998499155044556,Support,Other
the app crush frequently,1,2025-05-24,BOA,Google Play,com.boa.boaMobileBanking,the app crush frequently,NEGATIVE,0.998525083065033,Other,Other
You guys keeps getting worst,1,2025-05-22,BOA,Google Play,com.boa.boaMobileBanking,you guys keeps getting worst,NEGATIVE,0.9997075200080872,Other,Other
